CONTINENT	REGION	COUNTRY	CAN_PROV
Americas	Central America	El Salvador	N/A
Africa	Southern Africa	Botswana	N/A
Africa	Southern Africa	Namibia	N/A
Africa	Middle Africa	Central African Republic	N/A
Asia	Central Asia	Turkmenistan	N/A
Americas	South America	Argentina	N/A
Europe	Western Europe	Netherlands	N/A
Asia	Southern Asia	Maldives	N/A
Africa	Southern Africa	Eswatini	N/A
Asia	South-eastern Asia	Myanmar	N/A
Asia	Central Asia	Uzbekistan	N/A
Asia	South-eastern Asia	Philippines	N/A
Europe	Southern Europe	Albania	N/A
Oceania	Australia and New Zealand	New Zealand	N/A
Europe	Southern Europe	Malta	N/A
Asia	Western Asia	Bahrain	N/A
Asia	Southern Asia	Sri Lanka	N/A
Africa	Western Africa	Sierra Leone	N/A
Oceania	Polynesia	American Samoa	N/A
Antarctica	Antarctica	Antarctica	N/A
Asia	Eastern Asia	Republic of Korea	N/A
Oceania	Polynesia	Niue	N/A
Asia	South-eastern Asia	Thailand	N/A
Europe	Western Europe	Liechtenstein	N/A
Africa	Middle Africa	São Tomé and Príncipe	N/A
Oceania	Polynesia	Tokelau	N/A
Europe	Northern Europe	Sweden	N/A
Europe	Northern Europe	Faroe Islands	N/A
Americas	Caribbean	Saint Kitts and Nevis	N/A
Europe	Northern Europe	Åland	N/A
Africa	Eastern Africa	Reunion	N/A
Antarctica	Antarctica	Queen Maud Land	N/A
Asia	Western Asia	West Bank and Gaza	N/A
Africa	Eastern Africa	Tanzania	N/A
Europe	Northern Europe	Lithuania	N/A
Europe	Southern Europe	Kosovo	N/A
Oceania	Melanesia	New Caledonia	N/A
Africa	Western Africa	The Gambia	N/A
Africa	Western Africa	Saint Helena, Ascension and Tristan da Cunha	N/A
Americas	South America	Brazil	N/A
Europe	Northern Europe	United Kingdom	N/A
Americas	Caribbean	Aruba	N/A
Africa	Eastern Africa	Kenya	N/A
Africa	Northern Africa	Western Sahara	N/A
Asia	Eastern Asia	Macao	N/A
Asia	Central Asia	Tajikistan	N/A
Europe	Western Europe	Monaco	N/A
Europe	Eastern Europe	Moldova	N/A
Europe	Southern Europe	Spain	N/A
Europe	Northern Europe	Finland	N/A
Americas	Central America	Costa Rica	N/A
Asia	Western Asia	Syria	N/A
Europe	Northern Europe	Iceland	N/A
Asia	Western Asia	Azerbaijan	N/A
Americas	Caribbean	The Bahamas	N/A
Africa	Eastern Africa	Mauritius	N/A
Africa	Eastern Africa	Somalia	N/A
Africa	Eastern Africa	Mayotte	N/A
Europe	Eastern Europe	Poland	N/A
Europe	Northern Europe	Ireland	N/A
Africa	Eastern Africa	Comoros	N/A
Europe	Western Europe	Austria	N/A
Americas	South America	Venezuela	N/A
Europe	Eastern Europe	Bulgaria	N/A
Asia	South-eastern Asia	Laos	N/A
Africa	Western Africa	Mauritania	N/A
Africa	Middle Africa	Congo	N/A
Asia	Southern Asia	Bangladesh	N/A
Americas	Central America	Guatemala	N/A
Europe	Eastern Europe	Romania	N/A
Americas	Central America	Mexico	N/A
Oceania	Polynesia	French Polynesia (French Republic)	N/A
Europe	Southern Europe	Vatican City State	N/A
Americas	Northern America	Saint Pierre and Miquelon (French Republic)	N/A
Oceania	Australia and New Zealand	Heard Island and McDonald Islands	N/A
Americas	South America	Peru	N/A
Americas	Caribbean	US Virgin Islands	N/A
Asia	Western Asia	Saudi Arabia	N/A
Africa	Northern Africa	Morocco	N/A
Americas	South America	Guyana	N/A
Asia	Western Asia	Türkiye	N/A
Americas	Northern America	Greenland	N/A
Americas	South America	Falkland Islands	N/A
Europe	Northern Europe	Latvia	N/A
Africa	Middle Africa	Angola	N/A
Asia	Western Asia	United Arab Emirates	N/A
Asia	Eastern Asia	Taiwan	N/A
Africa	Northern Africa	Egypt	N/A
Europe	Eastern Europe	Ukraine	N/A
Africa	Western Africa	Guinea-Bissau	N/A
Americas	Central America	Panama	N/A
Americas	Northern America	United States	N/A
Americas	South America	Ecuador	N/A
Africa	Eastern Africa	Burundi	N/A
Oceania	Australia and New Zealand	Christmas Island	N/A
Asia	Western Asia	Israel	N/A
Europe	Western Europe	Luxembourg	N/A
Americas	Caribbean	Haiti	N/A
Africa	Eastern Africa	Mozambique	N/A
Americas	Caribbean	Turks and Caicos Islands	N/A
Asia	South-eastern Asia	Brunei	N/A
Americas	Caribbean	Saint Barthélemy (French Republic)	N/A
Africa	Southern Africa	Lesotho	N/A
Africa	Western Africa	Liberia	N/A
Oceania	Micronesia	United States Minor Outlying Islands	N/A
Americas	Caribbean	Saint Lucia	N/A
Americas	Caribbean	Montserrat	N/A
Asia	Eastern Asia	Japan	N/A
Europe	Northern Europe	Jersey	N/A
Americas	South America	Suriname	N/A
Americas	Caribbean	Anguilla	N/A
Americas	Caribbean	Sint Maarten	N/A
Americas	Caribbean	Cuba	N/A
Europe	Northern Europe	Estonia	N/A
Oceania	Polynesia	Tonga	N/A
Asia	Western Asia	Armenia	N/A
Americas	Caribbean	Puerto Rico	N/A
Asia	Southern Asia	Pakistan	N/A
Europe	Western Europe	Belgium	N/A
Oceania	Polynesia	Tuvalu	N/A
Asia	Western Asia	Oman	N/A
Africa	Eastern Africa	Zimbabwe	N/A
Oceania	Micronesia	Palau	N/A
Europe	Southern Europe	Greece	N/A
Africa	Eastern Africa	Djibouti	N/A
Africa	Western Africa	Guinea	N/A
Europe	Southern Europe	Croatia	N/A
Asia	Central Asia	Kazakhstan	N/A
Asia	Southern Asia	Afghanistan	N/A
Americas	South America	Uruguay	N/A
Americas	South America	French Guiana	N/A
Europe	Southern Europe	San Marino	N/A
Africa	Southern Africa	South Africa	N/A
Europe	Eastern Europe	Slovakia	N/A
Africa	Western Africa	Senegal	N/A
Americas	Northern America	Canada	N/A
Africa	Western Africa	Nigeria	N/A
Europe	Northern Europe	Norway	N/A
Americas	Caribbean	Dominican Republic	N/A
Asia	Western Asia	Cyprus	N/A
Oceania	Micronesia	Nauru	N/A
Africa	Eastern Africa	South Sudan	N/A
Americas	Caribbean	Martinique	N/A
Americas	Caribbean	Cayman Islands	N/A
Asia	Southern Asia	Iran	N/A
Oceania	Melanesia	Papua New Guinea	N/A
Americas	Caribbean	Antigua and Barbuda	N/A
Europe	Western Europe	Germany	N/A
Africa	Middle Africa	Equatorial Guinea	N/A
Europe	Northern Europe	Guernsey	N/A
Asia	Southern Asia	India	N/A
Africa	Middle Africa	Gabon	N/A
Oceania	Micronesia	Marshall Islands	N/A
Asia	Western Asia	Lebanon	N/A
Asia	Western Asia	Iraq	N/A
Antarctica	Antarctica	British Antarctic Territory	N/A
Oceania	Micronesia	Guam	N/A
Africa	Northern Africa	Libya	N/A
Asia	Central Asia	Kyrgyzstan	N/A
Europe	Southern Europe	North Macedonia	N/A
Europe	Southern Europe	Serbia	N/A
Europe	Eastern Europe	Czechia	N/A
Oceania	Australia and New Zealand	Australia	N/A
Americas	Caribbean	Jamaica	N/A
Europe	Southern Europe	Montenegro	N/A
Americas	South America	Bouvet Island	N/A
Oceania	Polynesia	Wallis and Futuna	N/A
Africa	Middle Africa	Democratic Republic of Congo	N/A
Oceania	Melanesia	Vanuatu	N/A
Europe	Northern Europe	Sark	N/A
Americas	Northern America	Canada	Alberta
Americas	Northern America	Canada	British Columbia
Americas	Northern America	Canada	Manitoba
Americas	Northern America	Canada	New Brunswick
Americas	Northern America	Canada	Newfoundland and Labrador
Americas	Northern America	Canada	Northwest Territories
Americas	Northern America	Canada	Nova Scotia
Americas	Northern America	Canada	Nunavut
Americas	Northern America	Canada	Ontario
Americas	Northern America	Canada	Prince Edward Island
Americas	Northern America	Canada	Quebec
Americas	Northern America	Canada	Saskatchewan
Americas	Northern America	Canada	Yukon
